food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
1096017,none,none,onion,main course,4.1008,4,"[""gluten free"", ""dairy free""]",838.0,68g,37g,61g
640921,gluten free,gluten,mushrooms,main course,3.5785,2,"[""gluten free""]",500.0,51g,8g,55g
661741,none,none,garlic,main course,2.7393,1,"[""dairy free""]",523.0,78g,17g,14g
641962,vegetarian,gluten,mushrooms,main course,2.6265,4,"[""gluten free"", ""lacto ovo vegetarian"", ""primal""]",287.0,26g,12g,20g
664718,vegetarian,gluten,garlic,main course,4.7707,2,"[""gluten free"", ""lacto ovo vegetarian""]",626.0,85g,23g,19g
655806,none,seafood,none,main course,1.4549,4,[],373.0,48g,14g,12g
649248,gluten free,seafood,none,main course,4.6964,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""ketogenic""]",941.0,27g,70g,48g
633132,none,seafood,beef,main course,3.5391000000000004,2,"[""gluten free"", ""dairy free"", ""whole 30""]",665.0,26g,57g,21g
1096261,ketogenic,dairy,onion,main course,4.9579,2,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""fodmap friendly"", ""whole 30"", ""ketogenic""]",512.0,5g,35g,41g
673451,gluten free,dairy,garlic,main course,10.6807,5,"[""gluten free"", ""dairy free"", ""whole 30""]",382.0,25g,6g,56g
635834,gluten free,gluten,onion,main course,2.7881,4,"[""gluten free"", ""dairy free""]",345.0,12g,12g,44g
665734,ketogenic,gluten,garlic,main course,0.7221,2,"[""gluten free"", ""dairy free"", ""fodmap friendly"", ""whole 30"", ""ketogenic""]",210.0,2g,16g,12g
653078,gluten free,seafood,onion,main course,6.9011000000000005,6,"[""gluten free"", ""primal"", ""fodmap friendly""]",369.0,1g,10g,65g
632983,none,tree nut,onion,main course,4.592099999999999,6,"[""gluten free"", ""dairy free"", ""pescatarian""]",415.0,12g,26g,33g
637335,ketogenic,tree nut,onion,main course,3.0513,6,"[""gluten free"", ""primal"", ""pescatarian"", ""ketogenic""]",283.0,3g,19g,23g
1697687,ketogenic,tree nut,beef,main course,1.421,2,"[""gluten free"", ""primal"", ""ketogenic""]",237.0,5g,17g,16g
673457,none,dairy,garlic,main course,3.1542000000000003,5,"[""gluten free"", ""dairy free""]",451.0,43g,10g,49g
715595,vegetarian,seafood,mushrooms,main course,1.3461,4,"[""lacto ovo vegetarian""]",779.0,86g,35g,28g
653682,vegetarian,tree nut,beef,main course,2.4313,4,"[""gluten free"", ""lacto ovo vegetarian""]",440.0,56g,18g,17g
642602,none,seafood,none,main course,2.7993,2,[],411.0,52g,19g,12g
909226,vegetarian,seafood,mushrooms,main course,3.3403,2,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",513.0,74g,16g,23g
639306,gluten free,tree nut,garlic,main course,3.4753,2,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30""]",538.0,18g,41g,23g
1095682,ketogenic,dairy,onion,main course,1.9223,2,"[""gluten free"", ""dairy free"", ""paleolithic"", ""whole 30"", ""ketogenic""]",527.0,7g,46g,22g
